지역구분명,계절구분명,부하구분명,시작시간,종료시간,시작월,종료월
내륙지역,겨울1,경부하,00:00,07:00,01,02
내륙지역,겨울1,경부하,22:00,23:00,01,02
내륙지역,겨울1,중간부하,08:00,08:00,01,02
내륙지역,겨울1,중간부하,12:00,15:00,01,02
내륙지역,겨울1,중간부하,19:00,21:00,01,02
내륙지역,겨울1,최대부하,09:00,11:00,01,02
내륙지역,겨울1,최대부하,16:00,18:00,01,02
내륙지역,봄-가을1,경부하,00:00,07:00,03,05
내륙지역,봄-가을1,경부하,22:00,23:00,03,05
내륙지역,봄-가을1,중간부하,08:00,14:00,03,05
내륙지역,봄-가을1,중간부하,21:00,21:00,03,05
내륙지역,봄-가을1,최대부하,15:00,20:00,03,05
내륙지역,여름,경부하,00:00,07:00,06,08
내륙지역,여름,경부하,22:00,23:00,06,08
내륙지역,여름,중간부하,08:00,14:00,06,08
내륙지역,여름,중간부하,21:00,21:00,06,08
내륙지역,여름,최대부하,15:00,20:00,06,08
내륙지역,봄-가을2,경부하,00:00,07:00,09,10
내륙지역,봄-가을2,경부하,22:00,23:00,09,10
내륙지역,봄-가을2,중간부하,08:00,14:00,09,10
내륙지역,봄-가을2,중간부하,21:00,21:00,09,10
내륙지역,봄-가을2,최대부하,15:00,20:00,09,10
내륙지역,겨울2,경부하,00:00,07:00,11,12
내륙지역,겨울2,경부하,22:00,23:00,11,12
내륙지역,겨울2,중간부하,08:00,08:00,11,12
내륙지역,겨울2,중간부하,12:00,15:00,11,12
내륙지역,겨울2,중간부하,19:00,21:00,11,12
내륙지역,겨울2,최대부하,09:00,11:00,11,12
내륙지역,겨울2,최대부하,16:00,18:00,11,12
내륙지역,,경부하,00:00,23:00,01,12
제주지역,겨울1,경부하,00:00,07:00,01,02
제주지역,겨울1,경부하,22:00,23:00,01,02
제주지역,겨울1,중간부하,08:00,15:00,01,02
제주지역,겨울1,최대부하,16:00,21:00,01,02
제주지역,봄-가을1,경부하,00:00,07:00,03,05
제주지역,봄-가을1,경부하,22:00,23:00,03,05
제주지역,봄-가을1,중간부하,08:00,15:00,03,05
제주지역,봄-가을1,최대부하,16:00,21:00,03,05
제주지역,여름,경부하,00:00,07:00,06,08
제주지역,여름,경부하,22:00,23:00,06,08
제주지역,여름,중간부하,08:00,15:00,06,08
제주지역,여름,최대부하,16:00,21:00,06,08
제주지역,봄-가을2,경부하,00:00,07:00,09,10
제주지역,봄-가을2,경부하,22:00,23:00,09,10
제주지역,봄-가을2,중간부하,08:00,15:00,09,10
제주지역,봄-가을2,최대부하,16:00,21:00,09,10
제주지역,겨울2,경부하,00:00,07:00,11,12
제주지역,겨울2,경부하,22:00,23:00,11,12
제주지역,겨울2,중간부하,08:00,15:00,11,12
제주지역,겨울2,최대부하,16:00,21:00,11,12
